Designator,Mid X,Mid Y,Layer,Rotation
D153,-58.76,-40.07,Top,304.0
D154,-52.13,-48.38,Top,312.0
D155,-44.34,-55.60,Top,321.0
D156,-35.56,-61.59,Top,330.0
D157,-25.98,-66.20,Top,338.0
D158,-15.83,-69.34,Top,347.0
D159,-5.32,-70.92,Top,355.0
D160, 5.32,-70.92,Top,4.0
D161,15.83,-69.34,Top,12.0
D162,25.98,-66.20,Top,21.0
D163,35.56,-61.59,Top,30.0
D164,44.34,-55.60,Top,38.0
D165,52.13,-48.38,Top,47.0
D166,58.76,-40.07,Top,55.0
D167,64.08,-30.85,Top,64.0
D168,67.96,-20.96,Top,72.0
D169,70.33,-10.60,Top,81.0
D170,81.28, 0.00,Top,90.0
D171,80.64,10.19,Top,97.0
D172,78.73,20.21,Top,104.0
D173,75.57,29.92,Top,111.0
D174,71.23,39.16,Top,118.0
D175,65.76,47.78,Top,126.0
D176,59.25,55.64,Top,133.0
D177,51.81,62.63,Top,140.0
D178,43.55,68.63,Top,147.0
D179,34.61,73.54,Top,154.0
D180,25.12,77.30,Top,162.0
D181,15.23,79.84,Top,169.0
D182, 5.10,81.12,Top,176.0
D183,-5.10,81.12,Top,183.0
D184,-15.23,79.84,Top,190.0
D185,-25.12,77.30,Top,198.0
D186,-34.61,73.54,Top,205.0
D187,-43.55,68.63,Top,212.0
D188,-51.81,62.63,Top,219.0
D189,-59.25,55.64,Top,226.0
D190,-65.76,47.78,Top,234.0
D191,-71.23,39.16,Top,241.0
D192,-75.57,29.92,Top,248.0
D193,-78.73,20.21,Top,255.0
D194,-80.64,10.19,Top,262.0
D195,-81.28, 0.00,Top,270.0
D196,-80.64,-10.19,Top,277.0
D197,-78.73,-20.21,Top,284.0
D198,-75.57,-29.92,Top,291.0
D199,-71.23,-39.16,Top,298.0
D200,-65.76,-47.78,Top,306.0
D201,-59.25,-55.64,Top,313.0
D202,-51.81,-62.63,Top,320.0
D203,-43.55,-68.63,Top,327.0
D204,-34.61,-73.54,Top,334.0
D205,-25.12,-77.30,Top,342.0
D206,-15.23,-79.84,Top,349.0
D207,-5.10,-81.12,Top,356.0
D208, 5.10,-81.12,Top,3.0
D209,15.23,-79.84,Top,10.0
D210,25.12,-77.30,Top,18.0
D211,34.61,-73.54,Top,25.0
D212,43.55,-68.63,Top,32.0
D213,51.81,-62.63,Top,39.0
D214,59.25,-55.64,Top,46.0
D215,65.76,-47.78,Top,54.0
D216,71.23,-39.16,Top,61.0
D217,75.57,-29.92,Top,68.0
D218,78.73,-20.21,Top,75.0
D219,80.64,-10.19,Top,82.0
D220,91.44, 0.00,Top,90.0
D221,90.86,10.24,Top,96.0
D222,89.15,20.35,Top,102.0
D223,86.31,30.21,Top,109.0
D224,82.39,39.67,Top,115.0
D225,77.43,48.65,Top,122.0
D226,71.49,57.01,Top,128.0
D227,64.66,64.66,Top,135.0
D228,57.01,71.49,Top,141.0
D229,48.65,77.43,Top,147.0
D230,39.67,82.39,Top,154.0
D231,30.21,86.31,Top,160.0
D232,20.35,89.15,Top,167.0
D233,10.24,90.86,Top,173.0
D234, 0.00,91.44,Top,180.0
D235,-10.24,90.86,Top,186.0
D236,-20.35,89.15,Top,192.0
D237,-30.21,86.31,Top,199.0
D238,-39.67,82.39,Top,205.0
D239,-48.65,77.43,Top,212.0
D240,-57.01,71.49,Top,218.0
D241,-64.66,64.66,Top,225.0
D242,-71.49,57.01,Top,231.0
D243,-77.43,48.65,Top,237.0
D244,-82.39,39.67,Top,244.0
D245,-86.31,30.21,Top,250.0
D246,-89.15,20.35,Top,257.0
D247,-90.86,10.24,Top,263.0
D248,-91.44, 0.00,Top,270.0
D249,-90.86,-10.24,Top,276.0
D250,-89.15,-20.35,Top,282.0
D251,-86.31,-30.21,Top,289.0
D252,-82.39,-39.67,Top,295.0
D253,-77.43,-48.65,Top,302.0
D254,-71.49,-57.01,Top,308.0
D255,-64.66,-64.66,Top,315.0
D256,-57.01,-71.49,Top,321.0
D257,-48.65,-77.43,Top,327.0
D258,-39.67,-82.39,Top,334.0
D259,-30.21,-86.31,Top,340.0
D260,-20.35,-89.15,Top,347.0
D261,-10.24,-90.86,Top,353.0
D262, 0.00,-91.44,Top,0.0
D263,10.24,-90.86,Top,6.0
D264,20.35,-89.15,Top,12.0
D265,30.21,-86.31,Top,19.0
D266,39.67,-82.39,Top,25.0
D267,48.65,-77.43,Top,32.0
D268,57.01,-71.49,Top,38.0
D269,64.66,-64.66,Top,45.0
D270,71.49,-57.01,Top,51.0
D271,77.43,-48.65,Top,57.0
D272,82.39,-39.67,Top,64.0
D273,86.31,-30.21,Top,70.0
D274,89.15,-20.35,Top,77.0
D275,90.86,-10.24,Top,83.0
D276,101.60, 0.00,Top,90.0
D277,101.08,10.28,Top,95.0
D278,99.52,20.45,Top,101.0
D279,96.94,30.42,Top,107.0
D280,93.36,40.07,Top,113.0
D281,88.84,49.30,Top,119.0
D282,83.39,58.04,Top,124.0
D283,77.08,66.19,Top,130.0
D284,70.00,73.64,Top,136.0
D285,62.19,80.34,Top,142.0
D286,53.75,86.22,Top,148.0
D287,44.75,91.22,Top,153.0
D288,35.28,95.28,Top,159.0
D289,25.47,98.35,Top,165.0
D290,15.39,100.43,Top,171.0
D291, 5.14,101.47,Top,177.0
D292,-5.14,101.47,Top,182.0
D293,-15.39,100.43,Top,188.0
D294,-25.47,98.35,Top,194.0
D295,-35.28,95.28,Top,200.0
D296,-44.75,91.22,Top,206.0
D297,-53.75,86.22,Top,211.0
D298,-62.19,80.34,Top,217.0
D299,-70.00,73.64,Top,223.0
D300,-77.08,66.19,Top,229.0
D301,-83.39,58.04,Top,235.0
D302,-88.84,49.30,Top,241.0
D303,-93.36,40.07,Top,246.0
D304,-96.94,30.42,Top,252.0
D305,-99.52,20.45,Top,258.0
D306,-101.08,10.28,Top,264.0
D307,-101.60, 0.00,Top,270.0
D308,-101.08,-10.28,Top,275.0
D309,-99.52,-20.45,Top,281.0
D310,-96.94,-30.42,Top,287.0
D311,-93.36,-40.07,Top,293.0
D312,-88.84,-49.30,Top,299.0
D313,-83.39,-58.04,Top,304.0
D314,-77.08,-66.19,Top,310.0
D315,-70.00,-73.64,Top,316.0
D316,-62.19,-80.34,Top,322.0
D317,-53.75,-86.22,Top,328.0
D318,-44.75,-91.22,Top,333.0
D319,-35.28,-95.28,Top,339.0
D320,-25.47,-98.35,Top,345.0
D321,-15.39,-100.43,Top,351.0
D322,-5.14,-101.47,Top,357.0
D323, 5.14,-101.47,Top,2.0
D324,15.39,-100.43,Top,8.0
D325,25.47,-98.35,Top,14.0
D326,35.28,-95.28,Top,20.0
D327,44.75,-91.22,Top,26.0
D328,53.75,-86.22,Top,31.0
D329,62.19,-80.34,Top,37.0
D330,70.00,-73.64,Top,43.0
D331,77.08,-66.19,Top,49.0
D332,83.39,-58.04,Top,55.0
D333,88.84,-49.30,Top,61.0
D334,93.36,-40.07,Top,66.0
D335,96.94,-30.42,Top,72.0
D336,99.52,-20.45,Top,78.0
D337,101.08,-10.28,Top,84.0
D338,111.76, 0.00,Top,90.0
D339,111.28,10.30,Top,95.0
D340,109.86,20.54,Top,100.0
D341,107.49,30.58,Top,105.0
D342,104.21,40.38,Top,111.0
D343,100.04,49.81,Top,116.0
D344,95.03,58.83,Top,121.0
D345,89.19,67.35,Top,127.0
D346,82.60,75.29,Top,132.0
D347,75.29,82.60,Top,137.0
D348,67.35,89.19,Top,142.0
D349,58.83,95.03,Top,148.0
D350,49.81,100.04,Top,153.0
D351,40.38,104.21,Top,158.0
D352,30.58,107.49,Top,164.0
D353,20.54,109.86,Top,169.0
D354,10.30,111.28,Top,174.0
D355, 0.00,111.76,Top,180.0
D356,-10.30,111.28,Top,185.0
D357,-20.54,109.86,Top,190.0
D358,-30.58,107.49,Top,195.0
D359,-40.38,104.21,Top,201.0
D360,-49.81,100.04,Top,206.0
